Category Breakdown
Gradebook	Category	Percent	Weighted	Points	Total Assignments	Missing Assignments	Assignments with Zeros
1st Per BC Calculus	Tests	B+ 87.7%	80% Weight	412/470	6	0	0
1st Per BC Calculus	Homework	A+ 100%	15% Weight	52/52	27	1	0
1st Per BC Calculus	participation	A+ 100%	5% Weight	40/40	2	0	0
Assignments
Gradebook	Category	Assignment Name	Pts/Possible	Grade	Other Marks	Due Date	Notes
1st Per BC Calculus	Tests (80%)	Chapter 8 Test	82 / 100	82%		12/20/18	
1st Per BC Calculus	Homework (15%)	hmw 12-18	Missing			12/19/18	
1st Per BC Calculus	Homework (15%)	hmw 12-17	2 / 2	100%		12/18/18	
1st Per BC Calculus	Homework (15%)	hmw 12-14	2 / 2	100%		12/17/18	
1st Per BC Calculus	Homework (15%)	hmw 12-13	2 / 2	100%		12/14/18	
1st Per BC Calculus	Homework (15%)	hmw 12-12	2 / 2	100%		12/13/18	
1st Per BC Calculus	Homework (15%)	hmw 12-11	2 / 2	100%		12/12/18	
1st Per BC Calculus	Homework (15%)	hmw 12-10	2 / 2	100%		12/11/18	
1st Per BC Calculus	Homework (15%)	hmw 12-7	2 / 2	100%		12/10/18	
1st Per BC Calculus	participation (5%)	classwork/participation2	20 / 20	100%		12/7/18	
1st Per BC Calculus	Tests (80%)	Chapter 7 Test	78 / 100	78%		12/6/18	
1st Per BC Calculus	Homework (15%)	hmw 12-4	2 / 2	100%		12/5/18	
1st Per BC Calculus	Homework (15%)	hmw 12-3	2 / 2	100%		12/4/18	
1st Per BC Calculus	Homework (15%)	hmw 11-30	2 / 2	100%		12/3/18	
1st Per BC Calculus	Homework (15%)	hmw 11-29	2 / 2	100%		11/30/18	
1st Per BC Calculus	Tests (80%)	Chapter 7 Quiz	90 / 100	90%		11/30/18	
1st Per BC Calculus	Homework (15%)	hmw 11-28	2 / 2	100%		11/29/18	
1st Per BC Calculus	Homework (15%)	hmw 11-27	2 / 2	100%		11/28/18	
1st Per BC Calculus	Homework (15%)	hmw 11-26	2 / 2	100%		11/27/18	
1st Per BC Calculus	Tests (80%)	chapter 6 test	94 / 100	94%		11/20/18	
1st Per BC Calculus	Homework (15%)	hmw 11-16	2 / 2	100%		11/19/18	
1st Per BC Calculus	Homework (15%)	hmw 11-15	2 / 2	100%		11/16/18	
1st Per BC Calculus	participation (5%)	classwork/participation1	20 / 20	100%		11/16/18	
1st Per BC Calculus	Homework (15%)	hmw 11-14	2 / 2	100%		11/15/18	
1st Per BC Calculus	Homework (15%)	hmw 11-13	2 / 2	100%		11/14/18	
1st Per BC Calculus	Homework (15%)	hmw 11-8	2 / 2	100%		11/12/18	
1st Per BC Calculus	Tests (80%)	Chapter 5 Test	91 / 100	91%		11/8/18	
1st Per BC Calculus	Homework (15%)	hmw 11-6	2 / 2	100%		11/7/18	
1st Per BC Calculus	Homework (15%)	hmw 11-5	2 / 2	100%		11/6/18	
1st Per BC Calculus	Homework (15%)	hmw 11-2	2 / 2	100%		11/5/18	
1st Per BC Calculus	Homework (15%)	hmw 11-1	2 / 2	100%		11/2/18	
1st Per BC Calculus	Homework (15%)	hmw 10-31	2 / 2	100%		11/1/18	
1st Per BC Calculus	Homework (15%)	hmw 10-30	2 / 2	100%		10/31/18	
1st Per BC Calculus	Homework (15%)	hmw 10-29	2 / 2	100%		10/30/18	
1st Per BC Calculus	Tests (80%)	Chapter 4 Test	82 / 100	82%		10/29/18	
