Category Breakdown
Gradebook	Category	Percent	Weighted	Points	Total Assignments	Missing Assignments	Assignments with Zeros
1st Per BC Calculus	Homework	A+ 100%	15% Weight	56/56	28	0	0
1st Per BC Calculus	Tests	B- 82.7%	80% Weight	206.8/250	3	0	0
1st Per BC Calculus	participation	A+ 100%	5% Weight	40/40	2	0	0
Assignments
Gradebook	Category	Assignment Name	Pts/Possible	Grade	Other Marks	Due Date	Notes
1st Per BC Calculus	participation (5%)	cw participation 3	- / 20			3/22/19	
1st Per BC Calculus	Homework (15%)	hmw 3-15	- / 2			3/18/19	
1st Per BC Calculus	Homework (15%)	hmw 3-14159265...	- / 2			3/15/19	
1st Per BC Calculus	Homework (15%)	hmw 3-13	- / 2			3/14/19	
1st Per BC Calculus	Homework (15%)	hmw 3-12	- / 2			3/13/19	
1st Per BC Calculus	Homework (15%)	3-11	2 / 2	100%		3/12/19	
1st Per BC Calculus	Homework (15%)	hmw 3-8	2 / 2	100%		3/11/19	
1st Per BC Calculus	Homework (15%)	hmw 3-5	2 / 2	100%		3/6/19	
1st Per BC Calculus	Homework (15%)	hmw 3-4	2 / 2	100%		3/5/19	
1st Per BC Calculus	Homework (15%)	hmw 3-1	2 / 2	100%		3/4/19	
1st Per BC Calculus	Homework (15%)	hmw 2-28	2 / 2	100%		3/1/19	
1st Per BC Calculus	participation (5%)	cw participation2	20 / 20	100%		3/1/19	
1st Per BC Calculus	Homework (15%)	hmw 2-27	2 / 2	100%		2/28/19	
1st Per BC Calculus	Homework (15%)	hmw 2-26	2 / 2	100%		2/27/19	
1st Per BC Calculus	Homework (15%)	hmw 2-25	2 / 2	100%		2/26/19	
1st Per BC Calculus	Tests (80%)	Chapter 10 Quiz	92 / 100	92%		2/26/19	
1st Per BC Calculus	Homework (15%)	hmw 2-22	2 / 2	100%		2/22/19	
1st Per BC Calculus	Homework (15%)	hmw 2-21	2 / 2	100%		2/22/19	
1st Per BC Calculus	Homework (15%)	hmw 2-20	2 / 2	100%		2/21/19	
1st Per BC Calculus	Homework (15%)	hmw 2-19	2 / 2	100%		2/20/19	
1st Per BC Calculus	Tests (80%)	Chapter 9 Test	83 / 100	83%		2/14/19	
1st Per BC Calculus	Homework (15%)	hmw 2-12	2 / 2	100%		2/13/19	
1st Per BC Calculus	Homework (15%)	hmw 2-11	2 / 2	100%		2/12/19	
1st Per BC Calculus	Homework (15%)	hmw 2-8	2 / 2	100%		2/11/19	
1st Per BC Calculus	Homework (15%)	hmw 2-7	2 / 2	100%		2/8/19	
1st Per BC Calculus	participation (5%)	cw participation1	20 / 20	100%		2/8/19	
1st Per BC Calculus	Homework (15%)	hmw 2-6	2 / 2	100%		2/7/19	
1st Per BC Calculus	Homework (15%)	hmw 2-5	2 / 2	100%		2/6/19	
1st Per BC Calculus	Homework (15%)	hmw 2-4	2 / 2	100%		2/5/19	
1st Per BC Calculus	Homework (15%)	hmw 1/31	2 / 2	100%		2/1/19	
1st Per BC Calculus	Tests (80%)	Chapter 9 Quiz	73 / 100	73%		2/1/19	
1st Per BC Calculus	Homework (15%)	hmw 1/30	2 / 2	100%		1/31/19	
1st Per BC Calculus	Homework (15%)	hmw 1/29	2 / 2	100%		1/30/19	
1st Per BC Calculus	Homework (15%)	hmw 1/28	2 / 2	100%		1/29/19	
1st Per BC Calculus	Homework (15%)	hmw 1-25	2 / 2	100%		1/28/19	
1st Per BC Calculus	Homework (15%)	hmw 1-24	2 / 2	100%		1/25/19	
1st Per BC Calculus	Homework (15%)	hmw 1-23	2 / 2	100%		1/24/19	
1st Per BC Calculus	Homework (15%)	hmw 1-22	2 / 2	100%		1/23/19
